Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Scott McTominay,sct SCO,"MF,FW",26,32,18,1901,21.1,7,1,8,7,0,0,2,0,5.7,5.7,0.8,6.6,29,64,47,0.33,0.05,0.38,0.33,0.38,0.27,0.04,0.31,0.27,0.31,Matches,Manchester United
Harry Maguire,eng ENG,DF,30,22,18,1653,18.4,2,2,4,2,0,0,4,0,2.0,2.0,1.2,3.3,20,73,2,0.11,0.11,0.22,0.11,0.22,0.11,0.07,0.18,0.11,0.18,Matches,Manchester United
Raphaël Varane,fr FRA,DF,30,22,16,1375,15.3,1,0,1,1,0,0,2,0,1.3,1.3,0.1,1.3,16,59,2,0.07,0.00,0.07,0.07,0.07,0.08,0.00,0.09,0.08,0.09,Matches,Manchester United
Jonny Evans,nir NIR,DF,35,23,15,1392,15.5,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.2,7,37,1,0.00,0.06,0.06,0.00,0.06,0.00,0.08,0.08,0.00,0.08,Matches,Manchester United
Antony,br BRA,FW,23,29,15,1324,14.7,1,1,2,1,0,0,5,0,3.4,3.4,2.8,6.1,53,64,149,0.07,0.07,0.14,0.07,0.14,0.23,0.19,0.42,0.23,0.42,Matches,Manchester United
Victor Lindelöf,se SWE,DF,29,19,14,1328,14.8,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.1,17,40,17,0.07,0.07,0.14,0.07,0.14,0.05,0.02,0.07,0.05,0.07,Matches,Manchester United
Christian Eriksen,dk DEN,MF,31,22,12,1141,12.7,1,2,3,1,0,0,1,0,1.0,1.0,2.3,3.3,20,68,23,0.08,0.16,0.24,0.08,0.24,0.08,0.18,0.26,0.08,0.26,Matches,Manchester United
Luke Shaw,eng ENG,DF,28,12,12,959,10.7,0,0,0,0,0,0,6,0,0.0,0.0,1.0,1.0,10,45,30,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.00,0.10,Matches,Manchester United
Sofyan Amrabat,ma MAR,"MF,DF",26,21,10,938,10.4,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,6,66,10,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,Manchester United
Lisandro Martínez,ar ARG,DF,25,11,8,646,7.2,0,1,1,0,0,0,3,0,0.0,0.0,0.1,0.1,8,28,1,0.00,0.14,0.14,0.00,0.14,0.00,0.01,0.01,0.00,0.01,Matches,Manchester United
