Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Vitaly Janelt,de GER,"MF,DF",25,38,37,3054,33.9,1,3,4,1,0,0,8,0,1.8,1.8,4.8,6.5,25,123,81,0.03,0.09,0.12,0.03,0.12,0.05,0.14,0.19,0.05,0.19,Matches,Brentford
Christian Nørgaard,dk DEN,MF,29,31,30,2505,27.8,2,1,3,2,0,0,8,0,3.5,3.5,1.9,5.4,15,161,42,0.07,0.04,0.11,0.07,0.11,0.12,0.07,0.19,0.12,0.19,Matches,Brentford
Nathan Collins,ie IRL,DF,22,32,29,2652,29.5,1,1,2,1,0,0,3,0,1.7,1.7,2.2,3.9,11,97,18,0.03,0.03,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.13,Matches,Brentford
Yoane Wissa,cd COD,FW,26,34,29,2493,27.7,12,3,15,12,0,0,7,0,10.6,10.6,3.9,14.5,45,48,150,0.43,0.11,0.54,0.43,0.54,0.38,0.14,0.52,0.38,0.52,Matches,Brentford
Ethan Pinnock,jm JAM,DF,30,29,28,2521,28.0,2,0,2,2,0,0,1,0,2.0,2.0,1.0,3.0,11,61,16,0.07,0.00,0.07,0.07,0.07,0.07,0.04,0.11,0.07,0.11,Matches,Brentford
Mathias Jensen,dk DEN,MF,27,32,27,2204,24.5,3,3,6,3,0,0,5,0,0.7,0.7,4.0,4.7,19,123,66,0.12,0.12,0.25,0.12,0.25,0.03,0.16,0.19,0.03,0.19,Matches,Brentford
Mads Roerslev,dk DEN,DF,24,34,22,1985,22.1,1,2,3,1,0,0,1,0,0.9,0.9,1.8,2.7,18,43,90,0.05,0.09,0.14,0.05,0.14,0.04,0.08,0.12,0.04,0.12,Matches,Brentford
Bryan Mbeumo,cm CMR,FW,23,25,22,1960,21.8,9,6,15,6,3,3,2,0,9.8,7.4,4.6,12.1,74,88,195,0.41,0.28,0.69,0.28,0.55,0.45,0.21,0.66,0.34,0.55,Matches,Brentford
Kristoffer Ajer,no NOR,DF,25,28,21,1832,20.4,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,22,61,31,0.10,0.05,0.15,0.10,0.15,0.06,0.11,0.18,0.06,0.18,Matches,Brentford
Ivan Toney,eng ENG,FW,27,17,16,1450,16.1,4,2,6,4,0,0,5,0,6.0,6.0,1.5,7.4,23,40,98,0.25,0.12,0.37,0.25,0.37,0.37,0.09,0.46,0.37,0.46,Matches,Brentford
Keane Lewis-Potter,eng ENG,"FW,DF",22,30,15,1441,16.0,3,1,4,3,0,0,0,0,6.3,6.3,1.7,8.0,56,32,135,0.19,0.06,0.25,0.19,0.25,0.39,0.11,0.50,0.39,0.50,Matches,Brentford
Ben Mee,eng ENG,DF,33,16,15,1272,14.1,2,0,2,2,0,0,1,1,1.5,1.5,0.3,1.8,11,49,9,0.14,0.00,0.14,0.14,0.14,0.10,0.02,0.13,0.10,0.13,Matches,Brentford
Sergio Reguilón,es ESP,DF,26,16,14,1118,12.4,0,4,4,0,0,0,4,1,0.8,0.8,2.8,3.6,34,38,40,0.00,0.32,0.32,0.00,0.32,0.06,0.23,0.29,0.06,0.29,Matches,Brentford
Neal Maupay,fr FRA,FW,26,29,13,1321,14.7,6,3,9,6,0,0,8,0,5.7,5.7,2.3,8.1,21,37,91,0.41,0.20,0.61,0.41,0.61,0.39,0.16,0.55,0.39,0.55,Matches,Brentford
Mathias Jørgensen,dk DEN,DF,33,14,12,1087,12.1,1,0,1,1,0,0,4,0,0.7,0.7,0.9,1.7,5,50,4,0.08,0.00,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,Matches,Brentford
Frank Onyeka,ng NGA,MF,25,26,11,1161,12.9,1,2,3,1,0,0,8,0,2.2,2.2,1.8,4.0,17,33,39,0.08,0.16,0.23,0.08,0.23,0.17,0.14,0.31,0.17,0.31,Matches,Brentford
Aaron Hickey,sct SCO,DF,21,9,9,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9,21,13,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,Brentford
Mikkel Damsgaard,dk DEN,MF,23,23,7,842,9.4,0,2,2,0,0,0,2,0,0.9,0.9,1.4,2.4,16,61,32,0.00,0.21,0.21,0.00,0.21,0.10,0.16,0.25,0.10,0.25,Matches,Brentford
Saman Ghoddos,ir IRN,DF,29,19,7,739,8.2,1,0,1,1,0,0,5,0,0.3,0.3,1.1,1.4,22,36,31,0.12,0.00,0.12,0.12,0.12,0.04,0.13,0.17,0.04,0.17,Matches,Brentford
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Brentford
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Brentford
Yehor Yarmoliuk,ua UKR,MF,19,27,6,688,7.6,0,0,0,0,0,0,2,0,1.0,1.0,0.1,1.1,13,35,36,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14,Matches,Brentford
Rico Henry,eng ENG,DF,26,5,5,401,4.5,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.1,13,20,12,0.00,0.22,0.22,0.00,0.22,0.02,0.22,0.24,0.02,0.24,Matches,Brentford
Kevin Schade,de GER,"FW,MF",21,11,3,333,3.7,2,1,3,2,0,0,0,0,1.2,1.2,0.7,1.9,8,9,23,0.54,0.27,0.81,0.54,0.81,0.32,0.19,0.52,0.32,0.52,Matches,Brentford
Shandon Baptiste,gd GRN,MF,25,10,2,229,2.5,1,1,2,1,0,0,1,0,0.9,0.9,0.2,1.1,3,5,1,0.39,0.39,0.79,0.39,0.79,0.35,0.08,0.43,0.35,0.43,Matches,Brentford
Thomas Strakosha,al ALB,GK,28,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Brentford
Michael Olakigbe,eng ENG,"DF,FW",19,8,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,10,4,17,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches,Brentford
Josh Dasilva,eng ENG,"DF,FW",24,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.72,0.00,0.72,Matches,Brentford
Myles Peart-Harris,eng ENG,"DF,MF",20,3,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches,Brentford
Val Adedokun,ie IRL,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Vincent Angelini,sct SCO,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Benjamin Arthur,eng ENG,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Ellery Balcombe,eng ENG,GK,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Ethan Brierley,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Yunus Emre Konak,tr TUR,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Benjamin Fredrick,ng NGA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Charlie Goode,eng ENG,DF,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Kim Jisoo,kr KOR,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Hákon Rafn Valdimarsson,is ISL,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Ryan Trevitt,eng ENG,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford
Squad Total,,,26.6,38,418,3420,38.0,54,38,92,51,3,3,89,2,58.2,56.0,42.7,98.8,505,1283,1276,1.42,1.00,2.42,1.34,2.34,1.53,1.12,2.66,1.47,2.60,,Brentford
Opponent Total,,,26.1,38,418,3420,38.0,65,50,115,63,2,2,75,4,56.0,54.4,43.6,98.0,847,1585,1568,1.71,1.32,3.03,1.66,2.97,1.47,1.15,2.62,1.43,2.58,,Brentford
Morgan Gibbs-White,eng ENG,"MF,FW",23,37,35,3156,35.1,5,10,15,4,1,1,9,0,6.9,6.1,8.4,14.5,79,171,181,0.14,0.29,0.43,0.11,0.40,0.20,0.24,0.44,0.17,0.41,Matches,Nottingham Forest
Murillo,br BRA,DF,21,32,32,2789,31.0,0,2,2,0,0,0,5,0,1.8,1.8,1.2,3.0,22,89,7,0.00,0.06,0.06,0.00,0.06,0.06,0.04,0.10,0.06,0.10,Matches,Nottingham Forest
Anthony Elanga,se SWE,"FW,MF",21,36,25,2433,27.0,5,9,14,5,0,0,1,0,6.6,6.6,6.7,13.3,98,49,196,0.18,0.33,0.52,0.18,0.52,0.24,0.25,0.49,0.24,0.49,Matches,Nottingham Forest
Ryan Yates,eng ENG,MF,25,35,21,1992,22.1,1,1,2,1,0,0,6,0,2.6,2.6,0.8,3.5,18,73,37,0.05,0.05,0.09,0.05,0.09,0.12,0.04,0.16,0.12,0.16,Matches,Nottingham Forest
Callum Hudson-Odoi,eng ENG,"FW,MF",22,29,20,1854,20.6,8,1,9,8,0,0,0,0,2.7,2.7,2.8,5.5,111,58,173,0.39,0.05,0.44,0.39,0.44,0.13,0.14,0.27,0.13,0.27,Matches,Nottingham Forest
Chris Wood,nz NZL,FW,31,31,20,1812,20.1,14,1,15,14,0,0,0,0,11.9,11.9,2.1,14.0,16,30,76,0.70,0.05,0.75,0.70,0.75,0.59,0.10,0.69,0.59,0.69,Matches,Nottingham Forest
Danilo,br BRA,MF,22,29,20,1792,19.9,2,2,4,2,0,0,4,0,1.8,1.8,1.5,3.4,22,82,28,0.10,0.10,0.20,0.10,0.20,0.09,0.08,0.17,0.09,0.17,Matches,Nottingham Forest
Ola Aina,ng NGA,DF,26,22,20,1692,18.8,1,1,2,1,0,0,3,0,0.3,0.3,0.9,1.2,52,69,37,0.05,0.05,0.11,0.05,0.11,0.01,0.05,0.06,0.01,0.06,Matches,Nottingham Forest
Orel Mangala,be BEL,MF,25,20,19,1563,17.4,1,0,1,1,0,0,6,0,0.8,0.8,0.2,1.1,13,45,14,0.06,0.00,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,Matches,Nottingham Forest
Nicolás Domínguez,ar ARG,"MF,FW",25,26,19,1495,16.6,2,2,4,2,0,0,4,0,1.3,1.3,1.0,2.3,14,91,43,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.14,0.08,0.14,Matches,Nottingham Forest
Neco Williams,wls WAL,DF,22,26,18,1637,18.2,0,1,1,0,0,0,4,0,0.8,0.8,1.6,2.5,48,47,86,0.00,0.05,0.05,0.00,0.05,0.04,0.09,0.13,0.04,0.13,Matches,Nottingham Forest
Willy Boly,ci CIV,DF,32,20,18,1438,16.0,2,1,3,2,0,0,3,1,1.5,1.5,1.3,2.8,4,32,3,0.13,0.06,0.19,0.13,0.19,0.09,0.08,0.18,0.09,0.18,Matches,Nottingham Forest
Matt Turner,us USA,GK,29,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Nottingham Forest
Matz Sels,be BEL,GK,31,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Nottingham Forest
Moussa Niakhate,sn SEN,DF,27,21,15,1460,16.2,1,0,1,1,0,0,5,1,1.1,1.1,0.1,1.2,13,39,6,0.06,0.00,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08,Matches,Nottingham Forest
Harry Toffolo,eng ENG,DF,27,23,15,1459,16.2,1,3,4,1,0,0,3,0,1.6,1.6,1.5,3.2,10,42,34,0.06,0.19,0.25,0.06,0.25,0.10,0.10,0.20,0.10,0.20,Matches,Nottingham Forest
Ibrahim Sangaré,ci CIV,MF,25,17,13,1035,11.5,0,0,0,0,0,0,6,0,0.6,0.6,0.4,1.0,5,44,7,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches,Nottingham Forest
Taiwo Awoniyi,ng NGA,FW,25,20,12,1042,11.6,6,3,9,6,0,0,2,0,4.7,4.7,1.7,6.4,8,14,45,0.52,0.26,0.78,0.52,0.78,0.41,0.15,0.56,0.41,0.56,Matches,Nottingham Forest
Serge Aurier,ci CIV,"DF,MF",30,12,10,833,9.3,0,2,2,0,0,0,2,0,0.2,0.2,0.5,0.6,10,47,29,0.00,0.22,0.22,0.00,0.22,0.02,0.05,0.07,0.02,0.07,Matches,Nottingham Forest
Gonzalo Montiel,ar ARG,DF,26,14,8,801,8.9,0,2,2,0,0,0,5,0,0.1,0.1,1.4,1.5,9,28,32,0.00,0.22,0.22,0.00,0.22,0.01,0.15,0.17,0.01,0.17,Matches,Nottingham Forest
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Nottingham Forest
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Nottingham Forest
Andrew Omobamidele,ie IRL,DF,21,11,8,783,8.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,8,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,Nottingham Forest
Divock Origi,be BEL,FW,28,20,6,606,6.7,0,1,1,0,0,0,1,0,1.4,1.4,2.1,3.5,19,14,41,0.00,0.15,0.15,0.00,0.15,0.21,0.31,0.51,0.21,0.51,Matches,Nottingham Forest
Nuno Tavares,pt POR,DF,23,8,5,457,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,14,24,12,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,Matches,Nottingham Forest
Odisseas Vlachodimos,gr GRE,GK,29,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,Nottingham Forest
Joe Worrall,eng ENG,DF,26,7,5,439,4.9,0,0,0,0,0,0,0,1,0.1,0.1,0.2,0.3,0,8,1,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches,Nottingham Forest
Scott McKenna,sct SCO,DF,26,5,5,416,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,10,0,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08,Matches,Nottingham Forest
Felipe,br BRA,DF,34,7,4,375,4.2,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,1,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,Nottingham Forest
Brennan Johnson,wls WAL,"FW,MF",22,3,3,237,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,8,1,14,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.21,0.12,0.21,Matches,Nottingham Forest
Gio Reyna,us USA,"FW,MF",20,9,2,235,2.6,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,3,12,14,0.00,0.38,0.38,0.00,0.38,0.11,0.18,0.29,0.11,0.29,Matches,Nottingham Forest
Cheikhou Kouyaté,sn SEN,MF,33,12,2,212,2.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,0,5,5,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,Matches,Nottingham Forest
Rodrigo Ribeiro,pt POR,"MF,FW",18,4,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Nottingham Forest
Andrey Santos,br BRA,MF,19,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64,Matches,Nottingham Forest
Brandon Aguilera,cr CRC,FW,20,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Nottingham Forest
Remo Freuler,ch SUI,MF,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest
Joe Gardner,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest
Wayne Hennessey,wls WAL,GK,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest
Ethan Horvath,us USA,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest
Jamie McDonnell,nir NIR,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest
Lewis O'Brien,eng ENG,MF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest
Detlef Osong,eng ENG,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest
Hwang Ui-jo,kr KOR,"FW,MF",30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham Forest
Squad Total,,,25.7,38,418,3420,38.0,49,43,92,48,1,1,82,3,49.9,49.1,37.9,87.0,601,1141,1123,1.29,1.13,2.42,1.26,2.39,1.31,1.00,2.31,1.29,2.29,,Nottingham Forest
Opponent Total,,,26.4,38,418,3420,38.0,65,48,113,61,4,4,81,7,53.3,50.1,37.1,87.2,815,1901,1883,1.71,1.26,2.97,1.61,2.87,1.40,0.98,2.38,1.32,2.29,,Nottingham Forest
Thomas Kaminski,be BEL,GK,30,38,38,3405,37.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Luton Town
Alfie Doughty,eng ENG,DF,23,37,34,2925,32.5,2,8,10,2,0,0,5,0,1.3,1.3,6.3,7.6,94,106,164,0.06,0.25,0.31,0.06,0.31,0.04,0.19,0.23,0.04,0.23,Matches,Luton Town
Carlton Morris,eng ENG,"FW,MF",27,38,32,2862,31.8,11,4,15,6,5,5,4,0,11.4,7.5,2.8,10.2,37,56,120,0.35,0.13,0.47,0.19,0.31,0.36,0.09,0.45,0.23,0.32,Matches,Luton Town
Ross Barkley,eng ENG,MF,29,32,30,2618,29.1,5,4,9,5,0,0,6,0,4.1,4.1,3.7,7.9,48,163,39,0.17,0.14,0.31,0.17,0.31,0.14,0.13,0.27,0.14,0.27,Matches,Luton Town
Teden Mengi,eng ENG,DF,21,30,28,2469,27.4,1,0,1,1,0,0,3,0,0.6,0.6,0.3,0.9,15,54,1,0.04,0.00,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches,Luton Town
Gabriel Osho,ng NGA,DF,24,21,21,1846,20.5,2,0,2,2,0,0,3,0,1.1,1.1,0.1,1.2,10,37,4,0.10,0.00,0.10,0.10,0.10,0.05,0.01,0.06,0.05,0.06,Matches,Luton Town
Issa Kaboré,bf BFA,DF,22,24,21,1729,19.2,0,2,2,0,0,0,7,0,0.2,0.2,2.1,2.3,60,54,85,0.00,0.10,0.10,0.00,0.10,0.01,0.11,0.12,0.01,0.12,Matches,Luton Town
Amari'i Bell,jm JAM,DF,29,21,21,1720,19.1,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,32,76,10,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches,Luton Town
Chiedozie Ogbene,ie IRL,"MF,DF",26,30,20,1995,22.2,4,1,5,4,0,0,1,0,4.2,4.2,3.1,7.4,127,53,150,0.18,0.05,0.23,0.18,0.23,0.19,0.14,0.33,0.19,0.33,Matches,Luton Town
Tahith Chong,nl NED,"MF,FW",23,33,20,1982,22.0,4,0,4,4,0,0,4,0,2.7,2.7,0.5,3.2,57,72,101,0.18,0.00,0.18,0.18,0.18,0.12,0.02,0.15,0.12,0.15,Matches,Luton Town
Reece Burke,eng ENG,DF,26,22,20,1660,18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,11,67,14,0.00,0.22,0.22,0.00,0.22,0.07,0.07,0.15,0.07,0.15,Matches,Luton Town
Elijah Adebayo,eng ENG,FW,25,27,16,1419,15.8,10,0,10,10,0,0,1,0,5.9,5.9,0.7,6.6,16,23,110,0.63,0.00,0.63,0.63,0.63,0.37,0.04,0.42,0.37,0.42,Matches,Luton Town
Albert Sambi Lokonga,be BEL,MF,23,17,16,1303,14.5,1,3,4,1,0,0,4,0,0.6,0.6,1.4,2.0,29,72,13,0.07,0.21,0.28,0.07,0.28,0.04,0.10,0.14,0.04,0.14,Matches,Luton Town
Jordan Clark,eng ENG,MF,29,23,14,1304,14.5,1,1,2,1,0,0,4,0,1.0,1.0,1.3,2.2,21,51,39,0.07,0.07,0.14,0.07,0.14,0.07,0.09,0.16,0.07,0.16,Matches,Luton Town
Andros Townsend,eng ENG,"MF,FW",32,27,14,1210,13.4,1,3,4,1,0,0,1,0,1.2,1.2,1.3,2.5,47,35,71,0.07,0.22,0.30,0.07,0.30,0.09,0.10,0.19,0.09,0.19,Matches,Luton Town
Tom Lockyer,wls WAL,DF,28,14,14,1169,13.0,1,1,2,1,0,0,4,0,1.1,1.1,0.6,1.7,6,37,2,0.08,0.08,0.15,0.08,0.15,0.08,0.05,0.13,0.08,0.13,Matches,Luton Town
Marvelous Nakamba,zw ZIM,MF,29,13,13,1130,12.6,0,0,0,0,0,0,5,0,0.2,0.2,0.4,0.6,1,36,5,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches,Luton Town
Jacob Brown,sct SCO,"MF,FW",25,19,12,1019,11.3,2,0,2,2,0,0,4,0,2.8,2.8,0.7,3.4,25,19,53,0.18,0.00,0.18,0.18,0.18,0.25,0.06,0.30,0.25,0.30,Matches,Luton Town
Pelly Ruddock Mpanzu,cd COD,MF,30,27,11,1101,12.2,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.1,10,34,15,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches,Luton Town
Daiki Hashioka,jp JPN,DF,24,10,6,595,6.6,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,3,21,16,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches,Luton Town
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Luton Town
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Luton Town
Ryan Giles,eng ENG,"DF,MF",23,11,5,503,5.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9,17,30,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches,Luton Town
Fred Onyedinma,eng ENG,"DF,MF",26,8,4,407,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,9,6,21,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,Luton Town
Mads Juel Andersen,dk DEN,DF,25,8,4,400,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,0,7,1,0.23,0.00,0.23,0.23,0.23,0.06,0.00,0.06,0.06,0.06,Matches,Luton Town
Cauley Woodrow,eng ENG,"FW,MF",28,24,2,427,4.7,1,1,2,1,0,0,2,0,1.4,1.4,1.2,2.6,7,6,22,0.21,0.21,0.42,0.21,0.42,0.30,0.25,0.55,0.30,0.55,Matches,Luton Town
Luke Berry,eng ENG,"MF,DF",31,17,2,323,3.6,2,1,3,2,0,0,1,0,1.0,1.0,0.3,1.3,1,8,7,0.56,0.28,0.84,0.56,0.84,0.28,0.07,0.35,0.28,0.35,Matches,Luton Town
Joseph Johnson,eng ENG,DF,17,2,0,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Luton Town
James Shea,eng ENG,GK,32,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Luton Town
Zack Nelson,eng ENG,"MF,DF",18,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Luton Town
Allan Campbell,sct SCO,MF,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town
Christian Chigozie,eng ENG,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town
Aidan Francis,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town
Taylan Harris,eng ENG,FW,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town
Tim Krul,nl NED,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town
Jayden Luker,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town
Dominic Martins,pt POR,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town
John Mcatee,eng ENG,"FW,MF",24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town
Axel Piesold,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Luton Town
